,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_pca__n_components,param_svc__C,param_svc__class_weight,param_svc__decision_function_shape,param_svc__gamma,param_svc__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
67,641.936523962,40.5063102245,0.866887487915,0.999701071106,2000,1000000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 1000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",11,0.853042432317,0.999732417395,0.873653499836,0.999687834314,0.857133134691,0.999719813718,0.867521218054,0.999675350224,0.883087154676,0.99968993988,14.9507496416,5.87897386006,0.0109127696365,2.142221255e-05
68,828.817596579,75.6282104492,0.866221469948,0.999968556925,2000,1000000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",18,0.855202916976,0.999990990502,0.867527774223,0.99997983737,0.853207145811,0.99992592584,0.879582380784,0.999956953698,0.875587131949,0.999989077217,34.0396476724,14.5230299616,0.0105708763712,2.45097552807e-05
69,866.202570581,82.0592887878,0.858705269953,0.999969089899,2000,1000000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",37,0.861701625831,0.999991681366,0.868860450485,0.999952889706,0.825274501329,0.999946832442,0.874120619534,0.999964111529,0.863569152586,0.999989934453,35.0426538319,5.40984284127,0.0172685406908,1.85876012732e-05
70,820.551063395,87.3407341957,0.552574642276,0.999958454197,2000,1000000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,25.6587343569,7.9193686874,0.00604030769719,2.70410570877e-05
71,815.837208796,73.0087357998,0.552574642276,0.999958454197,2000,1000000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,14.4539474616,6.32004760142,0.00604030769719,2.70410570877e-05
72,443.243204021,38.632692337,0.847466410858,0.999539075675,2000,10000000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 10000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",51,0.835266523232,0.999540172441,0.856028244389,0.999528883248,0.837982640051,0.999522542874,0.847260291607,0.999548229518,0.860794355012,0.99955555029,12.569298532,4.50570988158,0.00989707775802,1.21130323275e-05
73,493.399067974,65.1900759697,0.866898152527,0.999701682884,2000,10000000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 10000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",10,0.853042432317,0.999732417395,0.873653499836,0.999687834314,0.85740376321,0.999724414098,0.867521218054,0.999675350224,0.882869849219,0.999688398389,21.251042726,8.43395591353,0.0108003929017,2.24632496506e-05
74,870.03417325,88.1848837852,0.866104565374,0.999967042897,2000,10000000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",24,0.85502409023,0.999990990502,0.867566013723,0.999967081406,0.853129861887,0.999930472267,0.879033775565,0.999957669934,0.875769085464,0.999989000373,37.9388545635,13.4697275064,0.0105244773362,2.22750239009e-05
75,949.856557846,56.1158993721,0.858311367816,0.999953062974,2000,10000000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",43,0.861484392381,0.999991681366,0.868607135979,0.999959037159,0.824793318644,0.99986005795,0.874016839954,0.999964603941,0.862655152121,0.999989934453,12.8576952203,2.53729715056,0.017349702386,4.83108797587e-05
76,960.579480743,55.1966075897,0.552574642276,0.999958454197,2000,10000000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,16.9056816672,3.43964807963,0.00604030769719,2.70410570877e-05
77,936.007272243,54.1182772636,0.552574642276,0.999958454197,2000,10000000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,14.4652172977,6.26148114947,0.00604030769719,2.70410570877e-05
78,557.368793821,66.9194832325,0.847273548722,0.999529936675,2000,100000000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 100000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",53,0.83564525466,0.999535730194,0.855316554626,0.999529676043,0.838923866643,0.999521845197,0.844930303819,0.999510106235,0.86155176386,0.999552325707,16.0905104972,3.27143135498,0.00978756948152,1.40969494226e-05
79,627.063416386,43.5382234097,0.866557378932,0.999700539829,2000,100000000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 100000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",15,0.852356249037,0.999729818681,0.873371940255,0.999692869802,0.856647385748,0.99971829312,0.866764455409,0.999675504793,0.883646864211,0.999686212749,9.3738043755,3.09195025389,0.0112996609595,2.03139265657e-05
80,836.696836996,74.0999985695,0.866186269591,0.999970620605,2000,100000000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",20,0.855253182048,0.999990990502,0.86721913946,0.999984025323,0.853264004724,0.999918147133,0.879590619708,0.999970862852,0.875604402015,0.999989077217,26.8331431015,9.81812641431,0.0105447804443,2.71616995185e-05
81,846.370361805,85.1061594009,0.858527911934,0.99995653092,2000,100000000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",40,0.861506978994,0.999991681366,0.868403329371,0.999956501335,0.825152599205,0.999860102714,0.87408885223,0.99998443473,0.86348779987,0.999989934453,26.4903860475,7.92028935511,0.0172455997931,4.98565385828e-05
82,845.196419573,90.9503412247,0.552574642276,0.999958454197,2000,100000000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,26.9482933594,7.20429326088,0.00604030769719,2.70410570877e-05
83,858.115982437,89.0646854401,0.552574642276,0.999958454197,2000,100000000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 100000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,16.2317118997,5.20854526135,0.00604030769719,2.70410570877e-05
84,476.544533348,38.5333519936,0.847149990531,0.999528971415,2000,1000000000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 1000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",54,0.835267940299,0.999540172441,0.85576649495,0.999527407362,0.838501954407,0.999512303714,0.844927798151,0.999509779412,0.861285764848,0.999555194145,17.9223471484,7.3721912403,0.00994961355455,1.70978714032e-05
85,500.861837626,52.9712164879,0.866416285334,0.999701377976,2000,1000000000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 1000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",16,0.852354879364,0.999729818681,0.873371940255,0.999692869802,0.856647385748,0.99971829312,0.866764455409,0.999675504793,0.882942765893,0.999690403484,42.1987654498,5.74353143005,0.0110885657721,1.97850745853e-05
86,856.173692369,66.0433990002,0.866162684764,0.999979328982,2000,1000000000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",21,0.855253182048,0.999990990502,0.86721913946,0.999983986901,0.8532765004,0.999955089566,0.87947081864,0.999977500723,0.875593783274,0.999989077217,16.6947840447,14.9043140379,0.0105094161577,1.29892814805e-05
87,843.149014235,30.2480054379,0.858579054508,0.999955049701,2000,1000000000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",39,0.861472048758,0.999991681366,0.868785731494,0.999955271844,0.82552403809,0.999874965551,0.873982111075,0.999963395293,0.863131343124,0.999989934453,12.3373888727,4.31967992586,0.0171064740053,4.25252727939e-05
88,806.949347925,18.1380350113,0.552574642276,0.999958454197,2000,1000000000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,26.8445671496,3.9825550214,0.00604030769719,2.70410570877e-05
89,730.385854006,18.0036113739,0.552574642276,0.999958454197,2000,1000000000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,12.2237863744,2.86711913472,0.00604030769719,2.70410570877e-05
90,531.869582081,37.9977725983,0.847499045598,0.999536206561,2000,10000000000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 10000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",50,0.835484386282,0.999538134396,0.855535866138,0.999524891378,0.838501954407,0.999512393243,0.844900902711,0.999552965445,0.863072118451,0.99955264834,11.9626575256,2.09684488767,0.0103842295556,1.58114912776e-05
91,520.256069374,26.1008066177,0.866608521892,0.999700489495,2000,10000000000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 10000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",14,0.853886581403,0.999728837523,0.873367915206,0.999691265253,0.856214376451,0.999717211198,0.867047276652,0.999677611111,0.88252645975,0.999687522388,15.0935901353,7.35193089834,0.0106691019177,1.92866741008e-05
92,565.524512815,12.0508749962,0.866207844795,0.999980870993,2000,10000000000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",19,0.855226623502,0.999990990502,0.867596928879,0.999975572575,0.853218978587,0.99997143777,0.879402909732,0.999977276899,0.875593783274,0.999989077217,14.5177046516,0.167314753283,0.0105207699417,7.74238997342e-06
93,518.173174572,11.0113486767,0.858324195972,0.999963658916,2000,10000000000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",42,0.861393022791,0.999991681366,0.868831449493,0.999952697598,0.824967281216,0.999899904552,0.874246044166,0.999984076612,0.862183182193,0.999989934453,18.9364456592,0.735916441267,0.0173257084197,3.48634857972e-05
94,402.748395014,9.0023211956,0.552574642276,0.999958454197,2000,10000000000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,27.9418700285,0.497379352316,0.00604030769719,2.70410570877e-05
95,327.19063859,8.15301833153,0.552574642276,0.999958454197,2000,10000000000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000000000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 2000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,20.0117529583,0.53949482588,0.00604030769719,2.70410570877e-05
